"","auction","time","nick","price","sell_price","winner_bids","winner_bidsnumb","winner_bidprice","bids_numb","type","seller","winner","delivery","weekdays","month"
"196",3294384,2012-04-20 00:19:08,"PPlehner",1150,29.5,344.5,53,6.5,"114","1",-94.5,776,476,"5","4"
"197",3299249,2012-04-22 00:22:52,"PPlehner",1150,2.5,19.5,3,6.5,"6","1",-1093.5,1128,828,"7","4"
"198",3315337,2012-04-25 00:17:57,"svetulya1234",1150,34,544,64,8.5,"132","1",72,572,272,"3","4"
"199",3361228,2012-05-17 00:14:31,"OSLO",1150,2.25,21,3,7,"5","0",-1102.75,1126.75,826.75,"4","5"
"200",3146659,2012-02-19 00:14:53,"z-x",1150,15,120,12,10,"56","1",-631,1015,715,"7","2"
"201",3149645,2012-02-21 00:18:02,"Shevchenko",1150,19,36,4,9,"72","1",-483,1095,795,"2","2"
"202",3154846,2012-02-23 00:14:20,"nero1",1150,5,10,1,10,"2","1",-1127,1135,835,"4","2"
"203",3171231,2012-03-01 00:08:47,"shunaeva84",1150,42.75,617,75,8.226666667,"167","1",395.75,490.25,190.25,"4","3"
"204",3172438,2012-03-01 00:15:35,"DesmoLII",1150,83,9,1,9,"328","1",1885,1058,758,"4","3"
"205",3176567,2012-03-03 00:20:42,"Revenger",1150,16.25,59.5,7,8.5,"61","1",-584.75,1074.25,774.25,"6","3"
"206",3179153,2012-03-04 00:21:31,"Andrei78",1150,11.5,171,19,9,"42","1",-760.5,967.5,667.5,"7","3"
"207",3183558,2012-03-06 00:21:26,"narl1",1150,32,17,2,8.5,"124","1",-2,1101,801,"2","3"
"208",3185741,2012-03-07 00:15:12,"Rad-i-k",1150,17.25,301,31,9.709677419,"65","1",-547.75,831.75,531.75,"3","3"
"209",3186585,2012-03-12 00:00:45,"sirstoun",1150,26.25,323,34,9.5,"101","1",-214.75,800.75,500.75,"1","3"
"210",3197877,2012-03-13 00:14:46,"businka85",1150,42.5,747,83,9,"166","1",386.5,360.5,60.5,"2","3"
"211",3214799,2012-03-15 00:21:19,"restler ",1150,38.75,657,73,9,"151","1",247.75,454.25,154.25,"4","3"
"212",3218531,2012-03-17 00:19:11,"sirstoun ",1150,28.75,288,32,9,"111","1",-122.25,833.25,533.25,"6","3"
"213",3224558,2012-03-22 00:12:06,"Rokhmistrov ",1150,199,9.5,1,9.5,"4","0",-915,941.5,641.5,"4","3"
"214",3275168,2012-04-17 00:15:57,"72vs",5700,272,3280.5,499,6.574148297,"1084","1",4328,2147.5,1847.5,"2","4"
"215",3361134,2012-05-16 00:20:34,"Koshka-A",350,48.5,14,8,1.75,"190","1",1408.5,287.5,-12.5,"3","5"
"216",3348572,2012-05-10 00:02:10,"gonum",350,1.5,6,1,6,"2","1",-330.5,342.5,42.5,"4","5"
"217",3335747,2012-05-04 00:20:24,"Ivanof",350,2.5,14,2,7,"6","1",-293.5,333.5,33.5,"5","5"
"218",3322573,2012-04-29 00:01:58,"oxisto",350,46.5,0,69,0,"182","1",1334.5,303.5,3.5,"7","4"
"219",3319342,2012-04-28 00:10:40,"narl1",350,6.5,25.72,5,5.144,"22","1",-145.5,317.78,17.78,"6","4"
"220",3363333,2012-05-17 00:16:35,"HAN-9",350,14,125,25,5,"52","1",132,211,-89,"4","5"
"221",3239193,2012-03-28 00:12:17,"Dkflbckfdf",500,17.25,288,32,9,"3","1",-455.75,194.75,-105.25,"3","3"
"222",3247689,2012-03-30 00:19:56,"alatyr8211",500,31.75,556.1,56,9.930357143,"123","1",638.75,-87.85,-387.85,"5","3"
"223",3253341,2012-04-02 00:02:06,"CHE_GUEVARA",500,58,140,14,10,"228","1",1610,302,2,"1","4"
"224",3268385,2012-04-09 00:01:06,"cashe2011",500,56.5,17,2,8.5,"222","1",1554.5,426.5,126.5,"1","4"
"225",3299269,2012-04-23 00:11:05,"Rokhmistrov",500,6.5,12,2,6,"22","1",-295.5,481.5,181.5,"1","4"
"226",3314312,2012-04-24 00:22:52,"-k-",500,1.25,7,1,7,"1","0",-489.75,491.75,191.75,"2","4"
"227",3327274,2012-05-01 00:14:17,"PPlehner",500,11.5,35,5,7,"42","1",-110.5,453.5,153.5,"2","5"
"228",3336355,2012-05-05 00:00:54,"PPlehner",500,5,30,5,6,"16","1",-351,465,165,"6","5"
"229",3338351,2012-05-07 00:18:58,"Denger_",500,2,13,2,6.5,"4","1",-462,485,185,"1","5"
"230",3347195,2012-05-11 00:22:50,"ramzes8611",500,55.5,224,32,7,"218","1",1517.5,220.5,-79.5,"5","5"
"231",3361211,2012-05-16 00:00:59,"Verrona",500,1.75,13,2,6.5,"3","1",-471.25,485.25,185.25,"3","5"
"232",3363128,2012-05-17 00:08:43,"andrewstrl",500,256.5,3059,511,5.98630137,"1022","1",8954.5,-2815.5,-3115.5,"4","5"
"233",3165832,2012-02-29 00:08:21,"alatyr8211 ",500,16,113,12,9.416666667,"60","1",56,371,71,"3","2"
"234",3163978,2012-02-27 00:06:15,"narl1 ",500,3,18,2,9,"8","0",-425,479,179,"1","2"
"235",3156116,2012-02-24 00:18:03,"tatyn ",500,2.25,18,2,9,"5","0",-452.75,479.75,179.75,"5","2"
"236",3153646,2012-02-22 00:17:50,"BETEP-BETEPOK",500,4,13.32,2,6.66,"3","1",-469,482.68,182.68,"3","2"
"237",3151556,2012-02-21 00:13:37,"narl1 ",500,7.25,126.66,13,9.743076923,"25","1",-267.75,366.09,66.09,"2","2"
"238",3147439,2012-02-21 00:06:25,"lefsha ",500,3.25,50,5,10,"9","1",-415.75,446.75,146.75,"2","2"
"239",3176573,2012-03-04 00:22:33,"alatyr8211 ",500,42.5,60,6,10,"166","1",1036.5,397.5,97.5,"7","3"
"240",3195448,2012-03-13 00:04:24,"Kruzer ",500,3.5,33.32,4,8.33,"10","1",-406.5,463.18,163.18,"2","3"
"241",3212215,2012-03-15 00:14:36,"Lank ",500,4.75,54,6,9,"15","1",-360.25,441.25,141.25,"4","3"
"242",3224562,2012-03-22 00:22:06,"Snap ",500,99,21.99,3,7.33,"11","1",-321,379.01,79.01,"4","3"
"243",3218698,2012-03-18 00:23:59,"oxisto",450,3.5,16.6,4,4.15,"10","1",-356.5,429.9,129.9,"7","3"
"244",3224561,2012-03-22 00:17:04,"Snap",450,99,14.66,2,7.33,"5","1",-306,336.34,36.34,"4","3"
"245",3241223,2012-03-27 00:13:43,"ramzes8611",450,2.25,30,3,10,"5","0",-402.75,417.75,117.75,"2","3"
"246",3348744,2012-05-13 00:11:04,"ramzes8611",450,2,14,2,7,"4","1",-412,434,134,"7","5"
"247",3299268,2012-04-24 00:14:02,"ramzes8611",450,2.5,14,2,7,"6","0",-393.5,433.5,133.5,"2","4"
"248",3328973,2012-05-02 00:15:57,"andrei2012",450,2.5,6.5,1,6.5,"6","1",-393.5,441,141,"3","5"
"249",3361212,2012-05-16 00:19:04,"Fedosov",450,11.5,91,13,7,"42","1",-60.5,347.5,47.5,"3","5"
"250",3363326,2012-05-17 00:00:36,"Youf",450,2.25,18,3,6,"5","0",-402.75,429.75,129.75,"4","5"
"251",3148981,2012-02-21 00:14:01,"Kamillara ",450,1.75,16,2,8,"3","1",-421.25,432.25,132.25,"2","2"
"252",3152169,2012-02-23 00:02:05,"vapo2009 ",450,12.25,210,21,10,"45","1",-32.75,227.75,-72.25,"4","2"
"253",3158852,2012-02-26 00:05:24,"Jabber",450,16,253,27,9.37037037,"60","1",106,181,-119,"7","2"
"254",3162478,2012-02-27 00:21:38,"DAMAPX ",450,7.5,85,10,8.5,"26","1",-208.5,357.5,57.5,"1","2"
"255",3165852,2012-02-29 00:12:34,"express2404",450,9.5,123.5,13,9.5,"34","1",-134.5,317,17,"3","2"
"256",3169925,2012-03-01 00:01:36,"Metelkin ",450,6,95,10,9.5,"20","1",-264,349,49,"4","3"
"257",3172747,2012-03-03 00:04:08,"narl1 ",450,5.5,81,9,9,"18","1",-282.5,363.5,63.5,"6","3"
"258",3185984,2012-03-09 00:10:39,"ATMOL",450,2.75,30,3,10,"7","1",-384.25,417.25,117.25,"5","3"
"259",3192492,2012-03-11 00:09:28,"Siranush ",450,16.75,250,29,8.620689655,"63","1",133.75,183.25,-116.75,"7","3"
